SampleID	PC1	PC2	PC3	PC4	PC5	Depth	Frozen	total_c	no3	nh4	po4	mbc	mbn	mbp	ph	soil_depth
Sample1a10EJP	-0.028479494	-0.152773853	-0.070241948	0.021587613	0.032481598	10	0	41.613	0.338	1.292	1.002	2450.05	202.567	2.219	3.505	10
Sample1a10LJP	0.177743437	0.191109203	-0.046924085	-0.014254499	0.020187757	10	1	40.957	0.581	3.171	0	1049.327	97.257	0	3.75	10
Sample1a10SS2	-0.015880544	-0.017350967	-0.162006984	-0.043551359	0.012052958	10	0	42.91	0	4.053	6.46	5409.515	449.657	18.887	3.32	10
Sample1a20LJP	-0.022208854	-0.07813665	0.086891371	0.03819055	0.0780143	20	1	0.725	0.519	0.213	5.004	10.682	1.374	0	5.74	20
Sample1a30LJP	0.178955134	0.028819843	-0.08824059	0.010039593	-0.1033332	30	0	0.664	0.365	0.243	1.486	42.78	1.795	0.697	6.025	30
Sample1a5EJP	-0.160181735	-0.024490758	0.0065295789	-0.048463278	0.0315139537	5	1	43.91	1.997	1.337	25.904	4884.545	391.286	144.795	3.46	5
Sample1a5LJP	0.259020699	-0.147570782	0.0246121348	0.044047932	-0.099100327	5	1	43.124	0.463	4.011	0.95	3066.06	286.074	12.767	3.64	5
Sample1a5SS1	-0.199181091	0.008268178	-0.0015725785	0.04897	0.0481305196	5	0	44.688	1.143	2.265	0	5444.729	337.72	127.573	3.41	5
Sample1a5SS2	-0.179177195	0.030378366	0.0132808224	0.01279053	0.005013676	5	0	44.736	0	1.685	29.977	5908.79	418.219	148.493	3.47	5
Sample1AOne	0.081281612	0.015515099	-0.0314751982	-0.084967808	-0.017465042	5	1	43.112	0.317	2.262	0.5	2840.445	240.393	10.744	3.42	5
Sample1ARem	-0.141126123	-0.020366559	0.0177947119	0.045977281	-0.0540480138	5	1	46.785	0.309	2.991	1.472	5633.087	474.436	11.005	3.36	5
Sample1ASea	-0.162651398	-0.07901785	-0.0155411877	0.027298632	-0.0172462754	5	1	43.385	1.026	2.273	0.944	3257.575	233.183	4.238	3.34	5
Sample1ATea	0.120356454	-0.00839755	-0.0969971615	-0.123972276	-0.0009501446	5	1	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1AWes	0.038350338	0.172613554	0.0317805462	-0.007023862	-0.0160064467	5	1	44.08	0.016	2.878	2.152	3873.745	298.938	10.744	3.4	5
Sample1AXXX	0.245763634	-0.009921861	-0.012071833	0.057842467	-0.0646625818	5	1	45.432	1.133	4.134	0.234	3010.974	268.652	3.487	3.49	5
Sample1AYes	0.017027093	0.189627022	0.1567251355	0.00415724	0.0256397518	5	1	43.492	3.047	2.751	0.012	3155.7	236.136	2.145	3.3	5
Sample1b10EJP	0.08721918	-0.153753986	0.084505915	0.18636208	-0.026679329	10	0	39.051	0.63	1.442	0.296	1792.552	120.853	0.191	3.805	10
Sample1b10SS1	-0.237400199	0.048544119	-0.042225229	-0.008389728	0.03917337	10	0	42.186	0.734	2.218	2.432	3349.003	257.036	8.83	3.2	10
Sample1b10SS2	-0.295546748	0.174788871	0.023068593	0.080572373	-0.014509049	10	0	44.11	0	1.974	11.487	4105.243	331.184	59.809	3.46	10
Sample1b20LJP	-0.285273485	0.034697551	-0.049795235	0.031790046	0.11024326	20	1	1.355	0.314	0.136	20.373	27.505	1.531	0.348	5.83	20
Sample1b5EJP	0.18466248	0.012607514	-0.1327238295	0.114700976	0.164371075	5	1	45.921	1.366	2.094	3.91	4014.289	315.886	61.226	3.365	5
Sample1b5LJP	0.274463222	-0.103652493	-0.01292559	0.115385881	-0.054461595	5	1	42.104	0	4.247	1.071	3185.964	287.885	9.675	3.65	5
Sample1b5SS1	-0.149245132	-0.001093989	-0.0041802984	-0.008793695	-0.0030144066	5	0	43.996	1.337	3.186	10.27	5963.069	357.868	106.578	3.34	5
Sample1b5SS2	-0.185280945	0.003661788	-0.0125734869	-0.02430237	0.0679543331	5	0	44.254	0	1.218	26.269	6569.332	409.147	170.946	3.54	5
Sample1BEas	0.0951633	0.124650633	-0.0332368605	-0.037089566	-0.0472725868	5	1	43.11	0.025	2.725	2.152	3689.441	301.381	10.744	3.55	5
Sample1BRem	0.187024974	0.044673829	0.0600869421	-0.031065676	0.0186022349	5	1	43.792	0.3	2.716	1.472	4065.695	315.259	13.208	3.4	5
Sample1BSea	0.216186277	-0.019760316	0.0752698003	-0.045406577	-0.0868271094	5	1	43.551	0.671	1.773	0.918	3492.591	293.985	6.759	3.36	5
Sample1BTea	-0.086688878	-0.054000574	-0.1038970507	-0.071690043	0.009801699	5	1	44.536	0.634	3.127	2.449	3109.801	359.866	22.019	3.38	5
Sample1BXXX	0.259530547	-0.294079642	0.1942488864	-0.106279423	0.1648867582	5	1	39.947	0.108	4.84	0.18	1941.598	223.123	1.45	3.68	5
Sample1BYes	0.113374946	0.119969539	0.1150158258	-0.006186025	-0.0156881397	5	1	42.688	0.904	3.128	0.333	3139.369	265.995	2.713	3.41	5
Sample1BZeb	0.249838822	-0.045393015	-0.0311685839	0.046149479	-0.015218335	5	1	43.329	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1CSea	0.009960789	0.052210017	-0.0118841347	-0.055069589	0.017909565	5	1	44.431	0.652	2.668	1.617	3778.092	339.432	13.208	3.365	5
Sample1CZeb	-0.125974073	-0.045057124	-0.0883992203	-0.085905072	0.0206624347	5	1	45.086	0.993	1.834	2.286	3846.935	346.243	35.956	3.47	5
Sample1EOne	0.141148744	0.089983067	-0.0621680781	-0.00775577	-0.021607676	5	1	45.954	0.83	3.034	3.803	4354.135	364.81	10.744	3.42	5
Sample2a10EJP	-0.300941018	0.115032219	0.02164804	0.110605454	-0.052455663	10	0	41.408	0.263	2.338	0.271	3570.892	280.733	6.697	3.33	10
Sample2a10LJP	0.093343242	-0.042946069	-0.099941737	0.003386323	-0.033143122	10	1	37.878	0.185	2.611	0.347	1959.26	185.651	0.415	3.47	10
Sample2a10SS1	-0.104260903	-0.007679626	-0.01810368	-0.102585951	0.000241611	10	0	42.106	0.502	5.29	1.02	3260.16	198.18	1.44	3.485	10
Sample2a10SS2	-0.007421067	-0.051283253	-0.008428525	-0.068278481	-0.086341436	10	0	36.845	4.28	2.019	1.384	3634.817	251.11	7.901	3.363	10
Sample2a10WPM	-0.289243866	0.030212261	0.22110068	0.098655411	-0.027177695	10	0	45.539	0.719	0.932	7.153	6372.068	363.3	92.139	3.47	10
Sample2a20LJP	0.020744376	-0.061116242	-0.037202781	0.04099669	-0.05215463	20	1	5.372	1.04	0.484	0.596	130.305	10.7	0.468	4.63	20
Sample2a30LJP	0.125680085	-0.089736552	0.061983555	-0.01271283	-0.0264008	30	0	2.716	0.299	0.24	27.85	20.415	0.657	0	5.25	30
Sample2a5EJP	0.177837631	0.143326968	-0.0425096734	0.143413858	0.1572387217	5	1	42.249	0.76	2.027	0.877	3387.424	298.617	15.096	3.32	5
Sample2a5LJP	0.217779495	-0.063079037	-0.0001899476	-0.011163695	-0.0475984399	5	1	41.971	0.131	3.482	0.423	2720.981	280.31	3.251	3.47	5
Sample2a5SS1	-0.00735772	0.066751239	-0.0353033172	-0.086701148	0.0513705178	5	0	44.703	1.004	5.621	3.793	4435.076	494.577	34.716	3.4	5
Sample2a5SS2	-0.107504775	0.140486802	0.0945689299	-0.018636439	0.0028637409	5	0	44.941	0	1.506	22.627	5758.851	451.08	155.781	3.44	5
Sample2a5WPM	-0.214393963	-0.093954098	-0.0227937163	0.060104945	-0.0269749656	5	0	44.989	0.942	2.011	21.908	7001.728	391.331	168.625	3.56	5
Sample2ARem	0.178032899	-0.011085229	0.043277145	0.015854572	-0.06832302	10	1	42.3	0.133	1.588	0.029	1457.606	107.03	2.538	3.84	10
Sample2ASea	0.191930087	-0.071343745	-0.006192544	0.084358443	-0.074647507	10	1	36.291	0.575	1.354	0	1543.455	132.271	0.043	3.92	10
Sample2ATea	0.055949976	0.107922996	0.024864912	-0.122254663	-0.023048954	10	1	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2AWes1	0.02989008	-0.101086993	-0.082300004	-0.032789998	0.00559688	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.59	10
Sample2AWes2	0.092230795	-0.076293251	-0.054895222	0.011059871	-0.10009474	10	1	23.322	0	1.318	0.442	1161.287	93.005	1.232	3.41	10
Sample2AXXX	0.202979299	-0.065224468	-0.056388484	0.185779343	0.12668559	10	1	35.489	0.629	3.153	0.134	1433.038	137.092	1.858	3.7	10
Sample2AYes	0.165898523	0.143138223	-0.03325459	-0.04073264	0.002814299	10	1	42.621	0.782	1.747	0	1336.912	121.864	0.238	3.74	10
Sample2b10EJP	-0.322655641	0.182588766	-0.066967967	0.153397553	-0.045578957	10	0	44.095	1.148	1.521	10.567	3084.424	280.627	88.461	3.547	10
Sample2b10LJP	0.165831057	0.180690822	-0.034445804	-0.031859432	0.005326067	10	1	40.765	0.238	2.959	0.102	1072.711	99.186	0.153	3.76	10
Sample2b10SS1	-0.090143519	-0.100860519	-0.03170667	-0.064371984	-0.028757982	10	0	44.148	0.996	5.827	4.199	4146.511	421.988	17.459	3.36	10
Sample2b10SS2	-0.044304656	-0.114681312	0.025644878	-0.134685735	0.062268832	10	0	42.47	0	3.014	3.45	5145.083	389.358	23.293	3.36	10
Sample2b20LJP	-0.006337295	-0.113830216	-0.12259354	0.104072216	-0.02645664	20	1	2.396	0.624	0.367	0.774	56.164	4.535	0.239	5.11	20
Sample2b5LJP	-0.105503978	0.002056872	-0.0008246446	-0.076459795	-0.0376720539	5	1	41.487	0.846	3.448	2.652	3080.568	266.314	33.833	3.39	5
Sample2b5SS1	-0.071267271	-0.012651638	-0.0803509246	-0.067440451	0.0074775576	5	0	44.011	1.314	7.038	29.704	6874.197	688.145	157.685	3.47	5
Sample2b5SS2	-0.115704387	0.046021527	0.0149909399	-0.032040546	-0.0500955441	5	0	45.535	0	1.232	24.242	6446.222	429.588	179.866	3.49	5
Sample2b5WPM	-0.127486874	-0.109417994	-0.070642215	0.047066718	0.0057292235	5	0	47.371	0.7	1.991	13.432	6690.152	365.789	153.488	3.47	5
Sample2BEas	0.008921726	-0.21955553	0.035976043	0.057969701	-0.032123477	10	1	44.399	0.204	2.436	0.442	2145.995	194.252	1.232	3.5	10
Sample2BOne	0.180051292	0.08838472	-0.071692601	0.085777534	0.088048083	10	1	28.547	0.778	1.089	0.313	565.265	46.576	1.232	3.94	10
Sample2BRem	0.092745665	-0.073320684	0.223886854	-0.007601388	-0.01760909	10	1	42.693	0.419	4.828	0.33	2123.731	234.837	2.237	3.84	10
Sample2BTea	0.184923422	0.261435194	0.043916856	-0.035777959	0.029615986	10	1	41.119	0.336	1.859	0.408	1359.935	120.344	4.624	3.88	10
Sample2BXXX	0.207430681	-0.064620465	-0.039490632	0.196032904	0.133163566	10	1	36.987	0.249	7.564	0	286.591	16.419	0.297	3.92	10
Sample2BZeb	0.061231825	-0.061599939	0.024518087	-0.052824616	-0.115605913	10	1	39.229	0.957	2.162	0.334	1644.758	170.723	3.364	3.775	10
Sample2c5EJP	0.192178354	0.066016162	-0.0553252997	0.00610991	-0.019207307	5	1	42.832	0.915	2.234	1.653	3950.421	325.107	10.914	3.33	5
Sample2CEas	0.005237405	-0.101607353	-0.015190529	-0.051839297	-0.088517727	10	1	43.586	0.204	2.436	0.442	2145.995	194.252	1.232	3.63	10
Sample2CSea	0.121695246	0.03719023	-0.004347148	0.001724189	-0.122646511	10	1	35.337	0.277	1.458	0	1428.619	126.15	0.729	3.86	10
Sample2CWes1	-0.119755669	-0.029515504	-0.053823878	-0.063585381	0.077877209	10	1	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CWes2	-0.14830181	0.007304967	-0.082651174	-0.072950557	0.051421457	10	1	42.437	0	3.503	0.442	3711.727	319.887	1.232	3.63	10
Sample2CYes	0.105340146	0.066942405	-0.095982667	0.001090202	-0.074441094	10	1	43.115	0.202	2.13	0	2263.267	207.357	2.025	3.77	10
Sample2CZeb	0.153409484	0.06582123	0.071266134	-0.064569025	-0.062209068	10	1	37.931	0.957	2.162	0.334	1633.663	169.094	3.364	3.775	10
Sample2EOne	0.007953973	-0.091079754	0.175037723	-0.041035794	0.044119867	10	1	46.855	0.449	3.885	0.57	2564.674	293.15	1.232	3.71	10
Sample3a10SS1	-0.207267064	0.06041731	-0.061068703	-0.004041408	0.001272986	10	0	44.045	0	6.737	9.709	4412.504	489.171	0.631	3.348	10
Sample3a10WPM	-0.147860183	-0.096534299	-0.057615149	-0.077145414	0.116451264	10	0	45.373	0.565	1.666	2.617	4720.509	271.226	10.759	3.31	10
Sample3a5SS1	-0.189331289	-0.040538297	0.062102665	0.018856984	0.0899590893	5	0	43.853	0.042	7.139	35.237	4935.673	534.658	156.43	3.405	5
Sample3a5WPM	-0.223410306	-0.102483311	0.0159910238	0.08593402	-0.020494956	5	0	45.343	0.844	1.256	15.225	6977.526	319.496	120.586	3.515	5
Sample3AOne	-0.134389338	0.047204751	-0.026600406	-0.044815192	0.02641668	20	1	1.181	0.508	0.179	2.891	11.839	1.496	0.818	5.75	20
Sample3ARem	0.091109339	-0.037700843	0.015202582	-0.082414489	0.04741174	20	1	9.049	0.637	1.458	0.97	157.278	6.421	2.001	4.46	20
Sample3ATea	0.058522717	0.022291579	0.022784365	0.004690292	-0.11998682	20	1	3.251	0.192	0.333	1.965	53.096	3.809	0.755	4.96	20
Sample3AWes	0.191872472	-0.040869029	-0.135348773	0.10764674	0.05226907	20	1	2.126	0.079	0.482	1.525	70.683	6.144	0.818	4.89	20
Sample3AYes	0.02055901	-0.085785954	0.145230786	-0.017254357	-0.01143395	20	1	3.321	0	0.38	3.937	39.532	2.865	1.089	4.623	20
Sample3AZeb	-0.148534315	0.039810578	-0.079258235	-0.049216581	-0.04768652	20	1	4.594	0.32	0.452	3.539	57.798	5.404	1.372	4.42	20
Sample3b10WPM	-0.236697047	-0.055344544	0.058450394	0.035827953	0.021361688	10	0	44.094	0.477	1.472	4.074	5395.984	298.258	32.341	3.24	10
Sample3b5SS2	-0.152847008	-0.0436618	-0.0081040283	-0.031689958	-0.0183025192	5	0	43.803	0	1.714	6.034	4812.309	354.671	80.74	3.41	5
Sample3b5WPM	-0.175589502	-0.017026157	0.097914844	0.08042216	-0.0446359504	5	0	44.749	0.663	1.774	10.539	5901.208	328.409	97.774	3.495	5
Sample3BEas	-0.010570707	-0.031567458	0.009516821	0.008280072	-0.07297488	20	1	1.613	0.269	0.481	1.525	70.622	5.912	0.818	5.37	20
Sample3BOne	0.052055036	-0.018430223	0.087361087	0.034026178	-0.02031487	20	1	6.982	0.487	0.728	0.159	14.194	4.761	0.818	4.335	20
Sample3BRem	0.045215357	0.081817864	0.038161441	-0.093955561	0.118373	20	1	1.842	0.637	0.324	1.346	31.716	2.147	1.625	5.215	20
Sample3BSea	0.005731536	0.003782004	0.153909977	0.078565773	-0.05208436	20	1	2.072	0.841	0.319	2.025	40.797	3.784	0.699	5.395	20
Sample3BTea	-0.052707494	0.094908322	0.027281617	-0.095521198	-0.04914434	20	1	3.408	0.493	0.514	2.407	60.592	3.548	1.116	4.96	20
Sample3BWes	0.087736846	-0.094035804	-0.061112107	-0.061378456	-0.02359318	20	1	5.427	0	0.534	1.525	185.773	11.249	0.818	4.495	20
Sample3BXXX	-0.062480924	-0.153087215	-0.085703054	-0.101309977	-0.04981281	20	1	4.718	0.237	0.543	2.127	17.209	2.654	0.284	4.58	20
Sample3CSea	-0.249830204	0.025796587	0.066989162	0.055121765	-0.01129714	20	1	0.827	0.156	0.134	5.729	20.074	1.577	0.502	6.02	20
Sample3CXXX	-0.037642159	-0.130385405	-0.049073898	-0.016042663	0.0719632	20	1	2.189	0.302	0.372	4.421	14.29	3.359	0.568	4.95	20
Sample3CYes	0.069370347	-0.039451141	0.046616617	0.089560497	0.04199119	20	1	3.895	0.281	0.437	4.268	50.731	4.33	3.547	4.625	20
Sample3CZeb	0.109435487	-0.021250494	0.081672847	-0.048077705	0.03005581	20	1	8.847	0.778	0.526	2.942	167.229	13.814	1.372	4.42	20
Sample4a10WPM	-0.110245188	-0.131204844	-0.01176139	-0.108127754	0.079558664	10	0	42.287	0.249	1.815	2.135	3828.412	251.018	6.94	3.35	10
Sample4a5WPM	-0.203078223	0.005463614	0.081936677	0.088124251	-0.0329461418	5	0	44.53	0.463	0.649	26.756	5620.877	334.723	174.731	3.32	5
Sample4AEas	0.053632078	0.158396332	0.083918936	0.053077339	-0.0009034026	30	1	0.141	0.258	0.218	1.569	32.081	1.999	0.559	5.84	30
Sample4ARem	-0.17096444	0.026649291	-0.119759321	-0.058327969	0.0189732	30	1	1.854	0.402	0.547	4.671	35.776	0	0	5.5	30
Sample4ASea	0.07630194	-0.051972128	0.11874627	0.031933947	0.009260718	30	1	0.665	0.438	0.115	3.695	11.064	0.594	0	5.905	30
Sample4ATea	-0.003640506	0.081175671	-0.056583186	-0.082017932	-0.1088778	30	1	1.153	0.296	0.22	8.884	22.835	0.837	0.856	5.93	30
Sample4AWes	-0.027468829	-0.06671101	-0.071860118	-0.103425777	0.1292305	30	1	0.869	0.29	0.244	1.569	18.619	1.651	0.559	5.74	30
Sample4AYes	0.017671007	-0.094500337	-0.005207055	0.054137892	0.1157878	30	1	0.525	0.101	0.133	9.803	7.57	0.652	0	5.443	30
Sample4AZeb	-0.020722073	0.016524337	-0.140972718	0.216292281	-0.007058203	30	1	0.728	0.233	0.143	10.162	8.325	0.636	0.531	5.255	30
Sample4BEas	0.056094438	0.215098382	0.116879546	0.061273693	-0.06535592	30	1	0.493	0.258	0.218	1.569	32.081	1.999	0.559	5.67	30
Sample4BRem	-0.074567975	0.081917502	-0.079046381	0.010622367	0.05594014	30	1	1.134	0.193	0.216	4.362	3.761	0.816	1.52	5.63	30
Sample4BSea	0.174381567	-0.108645649	-0.017528084	0.071506707	-0.01830714	30	1	0.662	0.265	0.064	20.858	18.092	1.117	0	6.107	30
Sample4BTea	-0.118768302	0.076511876	-0.129382764	-0.114516745	-0.08292505	30	1	1.452	0.182	0.158	10.835	45.481	1.656	2.761	5.93	30
Sample4BXXX	0.187738198	-0.012780698	-0.048574951	-0.071955304	0.03990219	30	1	0.306	0.021	0.105	10.535	2.719	0	0	5.817	30
Sample4BYes	0.107236608	-0.032366385	0.018566258	-0.060494219	-0.008043923	30	1	0.355	0.182	0.104	8.733	4.83	0.544	1.729	5.755	30
Sample4CEas	-0.180930894	0.2012861	0.125119733	-0.003996732	0.0893269	30	1	0.759	0.258	0.218	1.569	32.081	1.999	0.559	5.65	30
Sample4CWes	0.10524992	-0.075677165	0.069904472	-0.021145247	0.04936573	30	1	1.025	0.221	0.192	1.569	22.553	1.292	0.559	5.677	30
Sample4CXXX	0.121529848	-0.005323019	-0.023363342	-0.066211352	0.01909571	30	1	0.37	0.151	0.115	13.253	2.607	0	0.926	5.795	30
Sample4CZeb	-0.152574134	-0.061892679	-0.11014588	0.101449724	-7.409841E-005	30	1	2.084	0.712	0.259	8.486	23.898	1.984	0	5.255	30
Sample4DEas	-0.045749761	0.066416418	0.072467733	-0.003971762	0.04585843	30	1	0.804	0.258	0.218	1.569	32.081	1.999	0.559	5.46	30
Sample4DOne	-0.188331524	-0.147221074	0.160347835	-0.046059692	-0.08618204	30	1	3.289	0.283	0.279	1.727	58.496	3.084	0.559	4.95	30
Sample4EOne	-0.220752387	-0.205969056	0.062730053	0.034502018	-0.06527972	30	1	2.316	0.238	0.159	1.411	28.656	1.97	0.559	5.26	30
Sample5a10WPM	0.136415178	0.129222649	0.230485091	-0.086788457	0.144190603	10	0	16.756	0.524	0.881	1.698	556.6	39.185	5.885	4.015	10
Sample5a5WPM	-0.040467792	-0.020489527	-0.0728679655	0.024807215	-0.0593686489	5	0	42.72	0.868	2.029	11.013	5905.948	347.496	95.561	3.44	5
Sample5ARem	-0.14194883	-0.02845235	0.01547399	-0.150600018	0.056168819	40	1	0.461	0.363	0.764	13.784	1.098	0	0	5.86	40
Sample5ASea	-0.100931088	0.07178664	-0.04144724	0.050509357	-0.113258299	40	1	0.118	0.465	0.13	12.806	5.811	0.424	0	6.08	40
Sample5ATea	-0.060818421	-0.08396848	0.14072255	-0.010057617	0.094549378	40	1	0.902	0.097	0.081	22.76	1.1	0.043	3.358	6.13	40
Sample5AXXX	-0.001066673	0.12328621	0.02399979	0.07665329	-0.013993435	40	1	0.158	0.067	0.122	13.845	3.333	0.069	0	5.95	40
Sample5AZeb	-0.219899172	-0.09485086	-0.0559464	-0.02198831	-0.039864112	40	1	0.413	0.241	0.128	13.184	4.467	0.162	1.558	5.977	40
Sample5b5WPM	0.042500246	0.021822582	-0.0231226397	-0.004057417	-0.0182596452	5	0	42.304	0.682	2.673	2.763	4386.847	274.034	19.302	3.49	5
Sample5BRem	-0.015146537	0.07412142	-0.01262134	-0.084598906	0.024891455	40	1	0.192	0.605	0.135	10.235	3.993	0.57	0	5.96	40
Sample5BSea	-0.027108961	0.07963769	0.01174935	0.096214865	-0.081835693	40	1	0.352	0.24	0.031	23.457	10.769	0.635	0	5.807	40
Sample5BTea	-0.053214374	-0.05178443	0.1263909	0.007702099	-0.004223984	40	1	0.405	0.354	0.228	16.609	4.554	0.334	0.672	6.13	40
Sample5BXXX	0.077692957	0.10473837	0.06076202	0.043804708	0.051411484	40	1	0.493	0.295	0.131	8.664	2.4	0.362	0	6.06	40
Sample5BYes	0.097578868	0.12442117	0.04031486	0.052683572	0.048885155	40	1	0.558	0.35	0.117	18.654	7.581	0.142	0.644	5.84	40
Sample5CYes	-0.020365735	0.06287987	-0.13252621	-0.021597117	0.198945114	40	1	0.722	0.018	0.144	13.558	5.885	0.147	7.145	5.59	40
Sample5CZeb	-0.233061903	-0.06372908	-0.08711948	0.015805114	-0.06098004	40	1	0.132	0.474	0.125	11.202	3.136	0.087	0	5.977	40
Sample6ARem	0.175877384	0.11553783	0.0968854848	-0.07230532	0.034460824	50	1	0.338	0.425	0.23	10.895	4.984	0	0	5.945	50
Sample6ASea	-0.142655519	0.01516134	0.1246616599	-0.04329202	0.118751895	50	1	0.164	0.195	0.085	16.273	6.252	0.525	1.492	5.915	50
Sample6ATea	-0.049952666	-0.09482944	0.0683781883	0.03708158	-0.121940524	50	1	0.433	0.127	0.056	27.935	4.03	0.387	1.133	6.003	50
Sample6BRem	0.076278156	0.11278275	-0.0190822381	-0.1833813	-0.098306796	50	1	0.691	0.458	0.133	35.649	6.67	0.493	3.861	5.87	50
Sample6BSea	-0.197596247	-0.04900746	0.164313479	0.03678312	0.005232085	50	1	0.13	0.138	0.112	12.832	4.676	0.251	0.57	6.21	50
Sample6BTea	0.0232172	-0.06944974	0.0062915142	0.04272886	-0.11999087	50	1	0.351	0.269	0.123	20.717	5.322	0.331	1.411	6.003	50
SampleFiEas	0.148128319	-0.10166518	0.07104911	-0.056680812	-0.07833087	40	0	0.551	0.189	0.202	3.35	38.226	4.01	1.558	5.94	40
SampleFiiEas	0.176848887	-0.0961404	0.04783865	-0.091018418	-0.060772068	40	0	0.303	0.189	0.202	3.35	38.226	4.01	1.558	5.695	40
SampleFiiiRem	0.1615568	0.03680748	0.188429587	0.07697149	0.012235975	60	0	0.199	0.042	0.934	25.903	3.638	0.2	0	6.037	60
SampleFiiiYes	-0.006956421	-0.16832587	-0.1125179631	-0.05491692	0.030143629	50	0	0.204	0	0.062	12.768	4.868	0.194	0.087	5.78	50
SampleFiiOne	0.028642652	-0.13462935	0.07692747	0.047543591	0.031105048	40	0	1.12	0.21	0.122	0.783	7.855	0.974	1.558	5.9	40
SampleFiiWes	0.183364091	0.07060383	-0.15007096	-0.142844168	-0.064833503	40	0	0.21	0	0.187	3.35	10.055	0.667	1.558	6.21	40
SampleFiOne	0.155239698	-0.21879126	-0.15658545	0.153992991	0.038841095	40	0	0.945	0.547	0.276	5.916	121.915	13.156	1.558	5.97	40
SampleFivSea	-0.2033236	-0.10703973	0.011722742	0.02171903	-0.100535876	60	0	0.111	0.146	0.739	20.882	5.962	0.261	0	6.26	60
SampleFivTea	0.2290264	-0.07629285	0.007318414	-0.12665562	-0.010492136	60	0	0.363	0.034	0.743	32.37	7.146	0.233	0	6.207	60
SampleFiWes	0.006066223	0.16253618	0.02108839	0.03447578	-0.026705544	40	0	0.269	0	0.223	3.35	13.08	1.244	1.558	5.76	40
SampleFiXXX	-0.22015831	0.16484719	-0.1039597254	0.05470412	-0.009538496	50	0	0.122	0.056	0.086	8.697	0.533	0.043	0	5.93	50
SampleFiYes	-0.024727078	-0.12559427	-0.101348336	-0.09328775	0.074137375	50	0	0.129	0.01	0.055	12.225	5.925	0.464	0.184	5.78	50
SampleFiZeb	0.234799016	0.00285974	-0.0008521544	0.1087859	0.030226294	50	0	0.186	0.493	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFviiiXXX	-0.112336462	0.08883219	-0.117633914	0.0794792	0.01381175	50	0	0.381	0.099	0.143	8.504	2.414	0.125	1.614	6.11	50
SampleFviiSea	-0.2342166	-0.10304561	0.006069063	-0.01198629	0.096386573	60	0	0.209	0.153	0.833	19.646	14.007	0.748	0	6.09	60
SampleFviZeb	0.244210946	0.00718574	-0.0051359953	0.08762055	0.043012835	50	0	0.204	0.131	0.064	5.258	3.013	0.07	2.316	6.04	50
SampleFvRem	-0.1219873	0.26307102	-0.02668368	-0.03929194	-0.007403136	60	0	0.931	0.142	1.143	21.776	1.914	0	0	6.037	60
SampleFvTea	0.1689442	-0.01350031	-0.186856125	0.07924333	0.0098086	60	0	0.178	0.034	0.878	43.744	6.533	0.288	0	6.207	60
Samplep1bEJP	-0.056593208	0.262163584	-0.046684237	0.070361595	-0.03913075	20	0	2.419	1.556	0.472	1.422	54.257	2.943	0.162	5.01	20
Samplep2aEJP	0.2198441	0.215688281	-0.036417911	0.005512235	0.05263513	20	0	3.557	0.738	0.677	0.956	90.046	4.013	1.742	4.47	20
Samplep3cEJP	0.09437136	0.077485571	-0.051828493	-0.058828471	-0.05330252	20	0	2.365	0.603	0.787	0.092	15.514	1.195	1.526	5.04	20
